uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data
685,2025-05-24 15:06:42,light,5,,3.0,20,,20,,,"{""type"":5,""axisX"":""20.0"",""accuracy"":3,""timestamp"":118369349197969}"
681,2025-05-24 15:08:22,light,5,,3.0,206,,206,,,"{""type"":5,""axisX"":""206.0"",""accuracy"":3,""timestamp"":362370557238305}"
668,2025-05-24 15:09:41,light,5,,3.0,5,,5,,,"{""type"":5,""axisX"":""5.0"",""accuracy"":3,""timestamp"":3681621466585152}"
687,2025-05-24 15:14:03,light,5,,3.0,233,,233,,,"{""type"":5,""axisX"":""233.0"",""accuracy"":3,""timestamp"":1285916264402360}"
676,2025-05-24 15:14:07,light,5,,3.0,175.9725,,175.9725,,,"{""type"":5,""axisX"":""175.9725"",""accuracy"":3,""timestamp"":144003920451391}"
678,2025-05-24 15:15:21,light,5,,3.0,72,,72,,,"{""type"":5,""axisX"":""72.0"",""accuracy"":3,""timestamp"":1116274696713836}"
670,2025-05-24 15:16:01,light,5,,3.0,94,,94,,,"{""type"":5,""axisX"":""94.0"",""accuracy"":3,""timestamp"":2880278540795060}"
685,2025-05-24 15:21:46,light,5,,3.0,127,,127,,,"{""type"":5,""axisX"":""127.0"",""accuracy"":3,""timestamp"":119273034112962}"
668,2025-05-24 15:24:41,light,5,,3.0,7,,7,,,"{""type"":5,""axisX"":""7.0"",""accuracy"":3,""timestamp"":3682521528986451}"
681,2025-05-24 15:27:37,light,5,,3.0,255,,255,,,"{""type"":5,""axisX"":""255.0"",""accuracy"":3,""timestamp"":363525657244167}"
687,2025-05-24 15:29:03,light,5,,3.0,458,,458,,,"{""type"":5,""axisX"":""458.0"",""accuracy"":3,""timestamp"":1286816310728684}"
676,2025-05-24 15:29:10,light,5,,3.0,174.015,,174.015,,,"{""type"":5,""axisX"":""174.015"",""accuracy"":3,""timestamp"":144898042233201}"
670,2025-05-24 15:31:01,light,5,,3.0,94,,94,,,"{""type"":5,""axisX"":""94.0"",""accuracy"":3,""timestamp"":2881178572488554}"
678,2025-05-24 15:33:06,light,5,,3.0,68,,68,,,"{""type"":5,""axisX"":""68.0"",""accuracy"":3,""timestamp"":1117339638168812}"
685,2025-05-24 15:36:47,light,5,,3.0,324,,324,,,"{""type"":5,""axisX"":""324.0"",""accuracy"":3,""timestamp"":120173667610409}"
668,2025-05-24 15:39:41,light,5,,3.0,7,,7,,,"{""type"":5,""axisX"":""7.0"",""accuracy"":3,""timestamp"":3683421562617082}"
681,2025-05-24 15:42:39,light,5,,3.0,237,,237,,,"{""type"":5,""axisX"":""237.0"",""accuracy"":3,""timestamp"":364427457232336}"
687,2025-05-24 15:44:04,light,5,,3.0,557,,557,,,"{""type"":5,""axisX"":""557.0"",""accuracy"":3,""timestamp"":1287713506996596}"
676,2025-05-24 15:44:19,light,5,,3.0,170.0325,,170.0325,,,"{""type"":5,""axisX"":""170.0325"",""accuracy"":3,""timestamp"":145807057491662}"
670,2025-05-24 15:46:01,light,5,,3.0,99,,99,,,"{""type"":5,""axisX"":""99.0"",""accuracy"":3,""timestamp"":2882078578802934}"
678,2025-05-24 15:48:06,light,5,,3.0,65,,65,,,"{""type"":5,""axisX"":""65.0"",""accuracy"":3,""timestamp"":1118238898645420}"
685,2025-05-24 15:51:48,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":121074946106497}"
668,2025-05-24 15:54:41,light,5,,3.0,5,,5,,,"{""type"":5,""axisX"":""5.0"",""accuracy"":3,""timestamp"":3684321586190783}"
681,2025-05-24 15:58:04,light,5,,3.0,68,,68,,,"{""type"":5,""axisX"":""68.0"",""accuracy"":3,""timestamp"":365351907244378}"
687,2025-05-24 15:59:04,light,5,,3.0,771,,771,,,"{""type"":5,""axisX"":""771.0"",""accuracy"":3,""timestamp"":1288617427068985}"
676,2025-05-24 15:59:20,light,5,,3.0,166.99501,,166.99501,,,"{""type"":5,""axisX"":""166.99501"",""accuracy"":3,""timestamp"":146708052854502}"
670,2025-05-24 16:01:35,light,5,,3.0,64,,64,,,"{""type"":5,""axisX"":""64.0"",""accuracy"":3,""timestamp"":2883012291954543}"
678,2025-05-24 16:03:06,light,5,,3.0,62,,62,,,"{""type"":5,""axisX"":""62.0"",""accuracy"":3,""timestamp"":1119132330403858}"
685,2025-05-24 16:06:50,light,5,,3.0,33,,33,,,"{""type"":5,""axisX"":""33.0"",""accuracy"":3,""timestamp"":121977297914703}"
671,2025-05-24 16:08:15,light,5,,3.0,5.3475,,5.3475,,,"{""type"":5,""axisX"":""5.3475"",""accuracy"":3,""timestamp"":511786124232445}"
668,2025-05-24 16:09:42,light,5,,3.0,6,,6,,,"{""type"":5,""axisX"":""6.0"",""accuracy"":3,""timestamp"":3685221608599408}"
681,2025-05-24 16:13:13,light,5,,3.0,154,,154,,,"{""type"":5,""axisX"":""154.0"",""accuracy"":3,""timestamp"":366261607223758}"
687,2025-05-24 16:14:05,light,5,,3.0,398,,398,,,"{""type"":5,""axisX"":""398.0"",""accuracy"":3,""timestamp"":1289518351649495}"
676,2025-05-24 16:14:22,light,5,,3.0,159.975,,159.975,,,"{""type"":5,""axisX"":""159.975"",""accuracy"":3,""timestamp"":147613035297540}"
670,2025-05-24 16:16:35,light,5,,3.0,86,,86,,,"{""type"":5,""axisX"":""86.0"",""accuracy"":3,""timestamp"":2883912323567431}"
678,2025-05-24 16:18:35,light,5,,3.0,64,,64,,,"{""type"":5,""axisX"":""64.0"",""accuracy"":3,""timestamp"":1120063036627002}"
685,2025-05-24 16:21:50,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":122877670291869}"
668,2025-05-24 16:24:42,light,5,,3.0,6,,6,,,"{""type"":5,""axisX"":""6.0"",""accuracy"":3,""timestamp"":3686121607531639}"
681,2025-05-24 16:29:03,light,5,,3.0,4,,4,,,"{""type"":5,""axisX"":""4.0"",""accuracy"":3,""timestamp"":367210907213835}"
687,2025-05-24 16:29:05,light,5,,3.0,461,,461,,,"{""type"":5,""axisX"":""461.0"",""accuracy"":3,""timestamp"":1290418454974186}"
676,2025-05-24 16:29:23,light,5,,3.0,152.01001,,152.01001,,,"{""type"":5,""axisX"":""152.01001"",""accuracy"":3,""timestamp"":148511425633296}"
670,2025-05-24 16:31:35,light,5,,3.0,51,,51,,,"{""type"":5,""axisX"":""51.0"",""accuracy"":3,""timestamp"":2884812416471350}"
678,2025-05-24 16:33:43,light,5,,3.0,62,,62,,,"{""type"":5,""axisX"":""62.0"",""accuracy"":3,""timestamp"":1120976755999017}"
685,2025-05-24 16:36:57,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":123784077880465}"
668,2025-05-24 16:39:42,light,5,,3.0,7,,7,,,"{""type"":5,""axisX"":""7.0"",""accuracy"":3,""timestamp"":3687021612902359}"
681,2025-05-24 16:44:04,light,5,,3.0,281,,281,,,"{""type"":5,""axisX"":""281.0"",""accuracy"":3,""timestamp"":368112607226143}"
687,2025-05-24 16:44:05,light,5,,3.0,517,,517,,,"{""type"":5,""axisX"":""517.0"",""accuracy"":3,""timestamp"":1291318481260436}"
676,2025-05-24 16:44:33,light,5,,3.0,143.97751,,143.97751,,,"{""type"":5,""axisX"":""143.97751"",""accuracy"":3,""timestamp"":149420420199781}"
670,2025-05-24 16:46:35,light,5,,3.0,51,,51,,,"{""type"":5,""axisX"":""51.0"",""accuracy"":3,""timestamp"":2885712505622466}"
678,2025-05-24 16:48:52,light,5,,3.0,57,,57,,,"{""type"":5,""axisX"":""57.0"",""accuracy"":3,""timestamp"":1121879029692152}"
671,2025-05-24 16:50:24,light,5,,3.0,6.3575,,6.3575,,,"{""type"":5,""axisX"":""6.3575"",""accuracy"":3,""timestamp"":514315713202755}"
685,2025-05-24 16:51:57,light,5,,3.0,121,,121,,,"{""type"":5,""axisX"":""121.0"",""accuracy"":3,""timestamp"":124684399883353}"
668,2025-05-24 16:54:42,light,5,,3.0,6,,6,,,"{""type"":5,""axisX"":""6.0"",""accuracy"":3,""timestamp"":3687921626016602}"
687,2025-05-24 16:59:05,light,5,,3.0,451,,451,,,"{""type"":5,""axisX"":""451.0"",""accuracy"":3,""timestamp"":1292218753495066}"
676,2025-05-24 16:59:34,light,5,,3.0,133.9875,,133.9875,,,"{""type"":5,""axisX"":""133.9875"",""accuracy"":3,""timestamp"":150326830705985}"
681,2025-05-24 16:59:59,light,5,,3.0,164,,164,,,"{""type"":5,""axisX"":""164.0"",""accuracy"":3,""timestamp"":369067207230748}"
670,2025-05-24 17:01:35,light,5,,3.0,40,,40,,,"{""type"":5,""axisX"":""40.0"",""accuracy"":3,""timestamp"":2886613761612541}"
678,2025-05-24 17:04:03,light,5,,3.0,54,,54,,,"{""type"":5,""axisX"":""54.0"",""accuracy"":3,""timestamp"":1122792666934320}"
671,2025-05-24 17:05:28,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":515219383555853}"
685,2025-05-24 17:06:58,light,5,,3.0,44,,44,,,"{""type"":5,""axisX"":""44.0"",""accuracy"":3,""timestamp"":125585046372811}"
668,2025-05-24 17:09:42,light,5,,3.0,6,,6,,,"{""type"":5,""axisX"":""6.0"",""accuracy"":3,""timestamp"":3688821735608916}"
687,2025-05-24 17:14:05,light,5,,3.0,692,,692,,,"{""type"":5,""axisX"":""692.0"",""accuracy"":3,""timestamp"":1293118784913226}"
676,2025-05-24 17:14:35,light,5,,3.0,127.98,,127.98,,,"{""type"":5,""axisX"":""127.98"",""accuracy"":3,""timestamp"":151232061784733}"
681,2025-05-24 17:15:40,light,5,,3.0,235,,235,,,"{""type"":5,""axisX"":""235.0"",""accuracy"":3,""timestamp"":370008207231962}"
670,2025-05-24 17:16:40,light,5,,3.0,19,,19,,,"{""type"":5,""axisX"":""19.0"",""accuracy"":3,""timestamp"":2887518590483350}"
678,2025-05-24 17:19:21,light,5,,3.0,50,,50,,,"{""type"":5,""axisX"":""50.0"",""accuracy"":3,""timestamp"":1123714671173267}"
671,2025-05-24 17:20:46,light,5,,3.0,0.55125,,0.55125,,,"{""type"":5,""axisX"":""0.55125"",""accuracy"":3,""timestamp"":516136989383506}"
685,2025-05-24 17:22:07,light,5,,3.0,3693,,3693,,,"{""type"":5,""axisX"":""3693.0"",""accuracy"":3,""timestamp"":126494311043324}"
668,2025-05-24 17:24:42,light,5,,3.0,7,,7,,,"{""type"":5,""axisX"":""7.0"",""accuracy"":3,""timestamp"":3689721761639562}"
687,2025-05-24 17:29:05,light,5,,3.0,609,,609,,,"{""type"":5,""axisX"":""609.0"",""accuracy"":3,""timestamp"":1294018808533242}"
676,2025-05-24 17:29:42,light,5,,3.0,117.990005,,117.990005,,,"{""type"":5,""axisX"":""117.990005"",""accuracy"":3,""timestamp"":152140951454915}"
681,2025-05-24 17:31:18,light,5,,3.0,145,,145,,,"{""type"":5,""axisX"":""145.0"",""accuracy"":3,""timestamp"":370945707201466}"
670,2025-05-24 17:31:41,light,5,,3.0,16,,16,,,"{""type"":5,""axisX"":""16.0"",""accuracy"":3,""timestamp"":2888420051279081}"
678,2025-05-24 17:34:21,light,5,,3.0,45,,45,,,"{""type"":5,""axisX"":""45.0"",""accuracy"":3,""timestamp"":1124610115985836}"
671,2025-05-24 17:35:50,light,5,,3.0,15.1025,,15.1025,,,"{""type"":5,""axisX"":""15.1025"",""accuracy"":3,""timestamp"":517041334266290}"
685,2025-05-24 17:37:23,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":127409820396632}"
668,2025-05-24 17:39:42,light,5,,3.0,7,,7,,,"{""type"":5,""axisX"":""7.0"",""accuracy"":3,""timestamp"":3690621774033700}"
687,2025-05-24 17:44:05,light,5,,3.0,1002,,1002,,,"{""type"":5,""axisX"":""1002.0"",""accuracy"":3,""timestamp"":1294918819220310}"
676,2025-05-24 17:44:45,light,5,,3.0,105.975006,,105.975006,,,"{""type"":5,""axisX"":""105.975006"",""accuracy"":3,""timestamp"":153033583632482}"
681,2025-05-24 17:46:18,light,5,,3.0,233,,233,,,"{""type"":5,""axisX"":""233.0"",""accuracy"":3,""timestamp"":371845757220466}"
670,2025-05-24 17:47:05,light,5,,3.0,14,,14,,,"{""type"":5,""axisX"":""14.0"",""accuracy"":3,""timestamp"":2889343825087696}"
678,2025-05-24 17:49:22,light,5,,3.0,39,,39,,,"{""type"":5,""axisX"":""39.0"",""accuracy"":3,""timestamp"":1125504639243323}"
685,2025-05-24 17:52:26,light,5,,3.0,24,,24,,,"{""type"":5,""axisX"":""24.0"",""accuracy"":3,""timestamp"":128312944006034}"
668,2025-05-24 17:54:42,light,5,,3.0,7,,7,,,"{""type"":5,""axisX"":""7.0"",""accuracy"":3,""timestamp"":3691521818775791}"
676,2025-05-24 17:59:46,light,5,,3.0,96.997505,,96.997505,,,"{""type"":5,""axisX"":""96.997505"",""accuracy"":3,""timestamp"":153934175404897}"
671,2025-05-24 18:00:01,light,5,,3.0,5.42,,5.42,,,"{""type"":5,""axisX"":""5.42"",""accuracy"":3,""timestamp"":518492876094779}"
681,2025-05-24 18:01:41,light,5,,3.0,56,,56,,,"{""type"":5,""axisX"":""56.0"",""accuracy"":3,""timestamp"":372769057206347}"
670,2025-05-24 18:02:05,light,5,,3.0,117,,117,,,"{""type"":5,""axisX"":""117.0"",""accuracy"":3,""timestamp"":2890243603748817}"
678,2025-05-24 18:04:46,light,5,,3.0,31,,31,,,"{""type"":5,""axisX"":""31.0"",""accuracy"":3,""timestamp"":1126439921956436}"
668,2025-05-24 18:09:42,light,5,,3.0,3,,3,,,"{""type"":5,""axisX"":""3.0"",""accuracy"":3,""timestamp"":3692421948641939}"
687,2025-05-24 18:14:44,light,5,,3.0,62,,62,,,"{""type"":5,""axisX"":""62.0"",""accuracy"":3,""timestamp"":1296757601499945}"
676,2025-05-24 18:14:47,light,5,,3.0,85.995,,85.995,,,"{""type"":5,""axisX"":""85.995"",""accuracy"":3,""timestamp"":154834430463621}"
685,2025-05-24 18:15:36,light,5,,3.0,101,,101,,,"{""type"":5,""axisX"":""101.0"",""accuracy"":3,""timestamp"":129702819218656}"
670,2025-05-24 18:17:05,light,5,,3.0,16,,16,,,"{""type"":5,""axisX"":""16.0"",""accuracy"":3,""timestamp"":2891143653604747}"
681,2025-05-24 18:19:06,light,5,,3.0,91,,91,,,"{""type"":5,""axisX"":""91.0"",""accuracy"":3,""timestamp"":373814057208507}"
678,2025-05-24 18:19:49,light,5,,3.0,28,,28,,,"{""type"":5,""axisX"":""28.0"",""accuracy"":3,""timestamp"":1127341888431202}"
668,2025-05-24 18:24:42,light,5,,3.0,7,,7,,,"{""type"":5,""axisX"":""7.0"",""accuracy"":3,""timestamp"":3693321975239654}"
676,2025-05-24 18:29:47,light,5,,3.0,73.98,,73.98,,,"{""type"":5,""axisX"":""73.98"",""accuracy"":3,""timestamp"":155745982070118}"
685,2025-05-24 18:30:37,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":130603714542104}"
671,2025-05-24 18:30:42,light,5,,3.0,3.2749999,,3.2749999,,,"{""type"":5,""axisX"":""3.2749999"",""accuracy"":3,""timestamp"":520336018260380}"
670,2025-05-24 18:32:05,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":2892043686256773}"
687,2025-05-24 18:32:26,light,5,,3.0,7,,7,,,"{""type"":5,""axisX"":""7.0"",""accuracy"":3,""timestamp"":1297820101568229}"
678,2025-05-24 18:34:50,light,5,,3.0,25,,25,,,"{""type"":5,""axisX"":""25.0"",""accuracy"":3,""timestamp"":1128243865495246}"
681,2025-05-24 18:36:46,light,5,,3.0,25,,25,,,"{""type"":5,""axisX"":""25.0"",""accuracy"":3,""timestamp"":374874357196008}"
668,2025-05-24 18:39:42,light,5,,3.0,4,,4,,,"{""type"":5,""axisX"":""4.0"",""accuracy"":3,""timestamp"":3694222042489801}"
676,2025-05-24 18:44:47,light,5,,3.0,58.995003,,58.995003,,,"{""type"":5,""axisX"":""58.995003"",""accuracy"":3,""timestamp"":156638714998929}"
685,2025-05-24 18:45:39,light,5,,3.0,186,,186,,,"{""type"":5,""axisX"":""186.0"",""accuracy"":3,""timestamp"":131506597865597}"
670,2025-05-24 18:47:06,light,5,,3.0,39,,39,,,"{""type"":5,""axisX"":""39.0"",""accuracy"":3,""timestamp"":2892944899049311}"
687,2025-05-24 18:47:59,light,5,,3.0,8,,8,,,"{""type"":5,""axisX"":""8.0"",""accuracy"":3,""timestamp"":1298752607475853}"
678,2025-05-24 18:50:07,light,5,,3.0,20,,20,,,"{""type"":5,""axisX"":""20.0"",""accuracy"":3,""timestamp"":1129158201817734}"
681,2025-05-24 18:53:15,light,5,,3.0,29,,29,,,"{""type"":5,""axisX"":""29.0"",""accuracy"":3,""timestamp"":375863257219085}"
668,2025-05-24 18:54:42,light,5,,3.0,5,,5,,,"{""type"":5,""axisX"":""5.0"",""accuracy"":3,""timestamp"":3695122050271062}"
676,2025-05-24 18:59:51,light,5,,3.0,45.022503,,45.022503,,,"{""type"":5,""axisX"":""45.022503"",""accuracy"":3,""timestamp"":157538887751408}"
685,2025-05-24 19:00:40,light,5,,3.0,41,,41,,,"{""type"":5,""axisX"":""41.0"",""accuracy"":3,""timestamp"":132406693633361}"
670,2025-05-24 19:02:11,light,5,,3.0,58,,58,,,"{""type"":5,""axisX"":""58.0"",""accuracy"":3,""timestamp"":2893849766351581}"
671,2025-05-24 19:02:34,light,5,,3.0,12.1137495,,12.1137495,,,"{""type"":5,""axisX"":""12.1137495"",""accuracy"":3,""timestamp"":522247500880518}"
687,2025-05-24 19:02:59,light,5,,3.0,650,,650,,,"{""type"":5,""axisX"":""650.0"",""accuracy"":3,""timestamp"":1299651220780859}"
678,2025-05-24 19:06:21,light,5,,3.0,14,,14,,,"{""type"":5,""axisX"":""14.0"",""accuracy"":3,""timestamp"":1130134891437009}"
