uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data
678,2025-05-27 01:25:21,accelerometer,1,,3.0,,,0.7733272,0.5554548,9.758766,"{""type"":1,""axisX"":""0.7733272"",""axisY"":""0.5554548"",""axisZ"":""9.758766"",""accuracy"":3,""timestamp"":1325682341864826}"
670,2025-05-27 01:28:27,accelerometer,1,,3.0,,,-0.35913026,3.1890767,9.1389675,"{""type"":1,""axisX"":""-0.35913026"",""axisY"":""3.1890767"",""axisZ"":""9.1389675"",""accuracy"":3,""timestamp"":3089827282419166}"
687,2025-05-27 01:28:34,accelerometer,1,,3.0,,,-0.34715924,-0.49799395,9.871294,"{""type"":1,""axisX"":""-0.34715924"",""axisY"":""-0.49799395"",""axisZ"":""9.871294"",""accuracy"":3,""timestamp"":1495587335136065}"
671,2025-05-27 01:31:31,accelerometer,1,,3.0,,,8.598776,2.1729624,-4.1582046,"{""type"":1,""axisX"":""8.598776"",""axisY"":""2.1729624"",""axisZ"":""-4.1582046"",""accuracy"":3,""timestamp"":718387693414442}"
668,2025-05-27 01:34:05,accelerometer,1,,3.0,,,0.25378537,0.20111294,9.897929,"{""type"":1,""axisX"":""0.25378537"",""axisY"":""0.20111294"",""axisZ"":""9.897929"",""accuracy"":3,""timestamp"":3891888107438606}"
676,2025-05-27 01:34:10,accelerometer,1,,3.0,,,0.09332009,-0.06819545,9.891929,"{""type"":1,""axisX"":""0.09332009"",""axisY"":""-0.06819545"",""axisZ"":""9.891929"",""accuracy"":3,""timestamp"":119080505655612}"
681,2025-05-27 01:34:11,accelerometer,1,,3.0,,,1.6969501,-0.03195,9.633,"{""type"":1,""axisX"":""1.6969501"",""axisY"":""-0.03195"",""axisZ"":""9.633"",""accuracy"":3,""timestamp"":572718844368913}"
686,2025-05-27 01:37:47,accelerometer,1,,3.0,,,-0.090979666,0.2825158,9.732729,"{""type"":1,""axisX"":""-0.090979666"",""axisY"":""0.2825158"",""axisZ"":""9.732729"",""accuracy"":3,""timestamp"":143202174852573}"
685,2025-05-27 01:40:19,accelerometer,1,,3.0,,,-0.52305,0.73695004,-9.759001,"{""type"":1,""axisX"":""-0.52305"",""axisY"":""0.73695004"",""axisZ"":""-9.759001"",""accuracy"":3,""timestamp"":329186678993754}"
678,2025-05-27 01:40:21,accelerometer,1,,3.0,,,0.7015011,0.5770026,9.77792,"{""type"":1,""axisX"":""0.7015011"",""axisY"":""0.5770026"",""axisZ"":""9.77792"",""accuracy"":3,""timestamp"":1326582351650470}"
670,2025-05-27 01:43:28,accelerometer,1,,3.0,,,-0.36152446,3.2034419,9.129391,"{""type"":1,""axisX"":""-0.36152446"",""axisY"":""3.2034419"",""axisZ"":""9.129391"",""accuracy"":3,""timestamp"":3090727651733696}"
687,2025-05-27 01:43:34,accelerometer,1,,3.0,,,-0.35673606,-0.48602295,9.864111,"{""type"":1,""axisX"":""-0.35673606"",""axisY"":""-0.48602295"",""axisZ"":""9.864111"",""accuracy"":3,""timestamp"":1496487335103433}"
671,2025-05-27 01:46:31,accelerometer,1,,3.0,,,-1.4982466,7.803975,5.319243,"{""type"":1,""axisX"":""-1.4982466"",""axisY"":""7.803975"",""axisZ"":""5.319243"",""accuracy"":3,""timestamp"":719287696889559}"
668,2025-05-27 01:49:05,accelerometer,1,,3.0,,,0.25139117,0.20590134,9.881169,"{""type"":1,""axisX"":""0.25139117"",""axisY"":""0.20590134"",""axisZ"":""9.881169"",""accuracy"":3,""timestamp"":3892788328057831}"
676,2025-05-27 01:49:11,accelerometer,1,,3.0,,,0.08973085,-0.061016977,9.847662,"{""type"":1,""axisX"":""0.08973085"",""axisY"":""-0.061016977"",""axisZ"":""9.847662"",""accuracy"":3,""timestamp"":119988832912674}"
681,2025-05-27 01:49:11,accelerometer,1,,3.0,,,0.74595004,-0.279,9.760051,"{""type"":1,""axisX"":""0.74595004"",""axisY"":""-0.279"",""axisZ"":""9.760051"",""accuracy"":3,""timestamp"":573618905576440}"
686,2025-05-27 01:52:48,accelerometer,1,,3.0,,,-0.059855044,0.2873042,9.739912,"{""type"":1,""axisX"":""-0.059855044"",""axisY"":""0.2873042"",""axisZ"":""9.739912"",""accuracy"":3,""timestamp"":144103193053649}"
678,2025-05-27 01:55:21,accelerometer,1,,3.0,,,0.6895301,0.59855044,9.763555,"{""type"":1,""axisX"":""0.6895301"",""axisY"":""0.59855044"",""axisZ"":""9.763555"",""accuracy"":3,""timestamp"":1327482360047959}"
685,2025-05-27 01:55:21,accelerometer,1,,3.0,,,-0.96495,0.39000002,-9.723001,"{""type"":1,""axisX"":""-0.96495"",""axisY"":""0.39000002"",""axisZ"":""-9.723001"",""accuracy"":3,""timestamp"":330088277067064}"
670,2025-05-27 01:58:28,accelerometer,1,,3.0,,,-0.35673606,3.2034419,9.143756,"{""type"":1,""axisX"":""-0.35673606"",""axisY"":""3.2034419"",""axisZ"":""9.143756"",""accuracy"":3,""timestamp"":3091627922888726}"
687,2025-05-27 01:58:34,accelerometer,1,,3.0,,,-0.34476504,-0.49320555,9.859323,"{""type"":1,""axisX"":""-0.34476504"",""axisY"":""-0.49320555"",""axisZ"":""9.859323"",""accuracy"":3,""timestamp"":1497387350950770}"
671,2025-05-27 02:01:31,accelerometer,1,,3.0,,,-8.946683,3.7267246,0.17559972,"{""type"":1,""axisX"":""-8.946683"",""axisY"":""3.7267246"",""axisZ"":""0.17559972"",""accuracy"":3,""timestamp"":720187708642643}"
668,2025-05-27 02:04:06,accelerometer,1,,3.0,,,0.25617957,0.20590134,9.893141,"{""type"":1,""axisX"":""0.25617957"",""axisY"":""0.20590134"",""axisZ"":""9.893141"",""accuracy"":3,""timestamp"":3893689030548598}"
676,2025-05-27 02:04:11,accelerometer,1,,3.0,,,0.076570325,-0.05503492,9.8632145,"{""type"":1,""axisX"":""0.076570325"",""axisY"":""-0.05503492"",""axisZ"":""9.8632145"",""accuracy"":3,""timestamp"":120891314345436}"
681,2025-05-27 02:04:11,accelerometer,1,,3.0,,,0.75600004,-0.26205,9.73095,"{""type"":1,""axisX"":""0.75600004"",""axisY"":""-0.26205"",""axisZ"":""9.73095"",""accuracy"":3,""timestamp"":574518962218656}"
686,2025-05-27 02:07:49,accelerometer,1,,3.0,,,-0.074220255,0.260968,9.739912,"{""type"":1,""axisX"":""-0.074220255"",""axisY"":""0.260968"",""axisZ"":""9.739912"",""accuracy"":3,""timestamp"":145004158032072}"
678,2025-05-27 02:10:21,accelerometer,1,,3.0,,,0.7015011,0.60094464,9.775525,"{""type"":1,""axisX"":""0.7015011"",""axisY"":""0.60094464"",""axisZ"":""9.775525"",""accuracy"":3,""timestamp"":1328382380082257}"
685,2025-05-27 02:10:21,accelerometer,1,,3.0,,,-1.51995,0.59400004,-9.667951,"{""type"":1,""axisX"":""-1.51995"",""axisY"":""0.59400004"",""axisZ"":""-9.667951"",""accuracy"":3,""timestamp"":330988295762348}"
670,2025-05-27 02:13:29,accelerometer,1,,3.0,,,-0.34237084,3.2082303,9.143756,"{""type"":1,""axisX"":""-0.34237084"",""axisY"":""3.2082303"",""axisZ"":""9.143756"",""accuracy"":3,""timestamp"":3092525581545777}"
687,2025-05-27 02:13:34,accelerometer,1,,3.0,,,-0.34715924,-0.48362875,9.859323,"{""type"":1,""axisX"":""-0.34715924"",""axisY"":""-0.48362875"",""axisZ"":""9.859323"",""accuracy"":3,""timestamp"":1498287367057221}"
671,2025-05-27 02:16:31,accelerometer,1,,3.0,,,-0.5543325,-0.001122282,9.735497,"{""type"":1,""axisX"":""-0.5543325"",""axisY"":""-0.001122282"",""axisZ"":""9.735497"",""accuracy"":3,""timestamp"":721087726289148}"
668,2025-05-27 02:19:06,accelerometer,1,,3.0,,,0.25378537,0.20350714,9.885958,"{""type"":1,""axisX"":""0.25378537"",""axisY"":""0.20350714"",""axisZ"":""9.885958"",""accuracy"":3,""timestamp"":3894589601531854}"
681,2025-05-27 02:19:11,accelerometer,1,,3.0,,,0.84405005,-0.79800004,9.67605,"{""type"":1,""axisX"":""0.84405005"",""axisY"":""-0.79800004"",""axisZ"":""9.67605"",""accuracy"":3,""timestamp"":575419037322620}"
676,2025-05-27 02:19:19,accelerometer,1,,3.0,,,0.09810573,-0.061016977,9.847662,"{""type"":1,""axisX"":""0.09810573"",""axisY"":""-0.061016977"",""axisZ"":""9.847662"",""accuracy"":3,""timestamp"":121790853508657}"
686,2025-05-27 02:22:49,accelerometer,1,,3.0,,,-0.06703765,0.2753332,9.7447,"{""type"":1,""axisX"":""-0.06703765"",""axisY"":""0.2753332"",""axisZ"":""9.7447"",""accuracy"":3,""timestamp"":145904167667149}"
678,2025-05-27 02:25:21,accelerometer,1,,3.0,,,0.7015011,0.58897364,9.763555,"{""type"":1,""axisX"":""0.7015011"",""axisY"":""0.58897364"",""axisZ"":""9.763555"",""accuracy"":3,""timestamp"":1329282394716480}"
685,2025-05-27 02:25:21,accelerometer,1,,3.0,,,-0.666,0.62700003,-9.74205,"{""type"":1,""axisX"":""-0.666"",""axisY"":""0.62700003"",""axisZ"":""-9.74205"",""accuracy"":3,""timestamp"":331888479181650}"
670,2025-05-27 02:28:29,accelerometer,1,,3.0,,,-0.36870706,3.2034419,9.158121,"{""type"":1,""axisX"":""-0.36870706"",""axisY"":""3.2034419"",""axisZ"":""9.158121"",""accuracy"":3,""timestamp"":3093428662158563}"
687,2025-05-27 02:28:34,accelerometer,1,,3.0,,,-0.36152446,-0.46447513,9.876082,"{""type"":1,""axisX"":""-0.36152446"",""axisY"":""-0.46447513"",""axisZ"":""9.876082"",""accuracy"":3,""timestamp"":1499187382643357}"
671,2025-05-27 02:31:35,accelerometer,1,,3.0,,,-0.52388126,-0.028356327,9.773655,"{""type"":1,""axisX"":""-0.52388126"",""axisY"":""-0.028356327"",""axisZ"":""9.773655"",""accuracy"":3,""timestamp"":721985470030767}"
681,2025-05-27 02:34:11,accelerometer,1,,3.0,,,1.0669501,-0.432,9.70005,"{""type"":1,""axisX"":""1.0669501"",""axisY"":""-0.432"",""axisZ"":""9.70005"",""accuracy"":3,""timestamp"":576319074424211}"
676,2025-05-27 02:34:21,accelerometer,1,,3.0,,,0.08733802,-0.058624156,9.845269,"{""type"":1,""axisX"":""0.08733802"",""axisY"":""-0.058624156"",""axisZ"":""9.845269"",""accuracy"":3,""timestamp"":122690553566823}"
668,2025-05-27 02:34:50,accelerometer,1,,3.0,,,0.23942018,0.21787235,9.878776,"{""type"":1,""axisX"":""0.23942018"",""axisY"":""0.21787235"",""axisZ"":""9.878776"",""accuracy"":3,""timestamp"":3895533586836866}"
686,2025-05-27 02:37:50,accelerometer,1,,3.0,,,-0.06464344,0.272939,9.7447,"{""type"":1,""axisX"":""-0.06464344"",""axisY"":""0.272939"",""axisZ"":""9.7447"",""accuracy"":3,""timestamp"":146805172001380}"
685,2025-05-27 02:40:21,accelerometer,1,,3.0,,,-0.54405004,0.41205,-9.74505,"{""type"":1,""axisX"":""-0.54405004"",""axisY"":""0.41205"",""axisZ"":""-9.74505"",""accuracy"":3,""timestamp"":332788560590301}"
678,2025-05-27 02:40:25,accelerometer,1,,3.0,,,0.6775591,0.59855044,9.76116,"{""type"":1,""axisX"":""0.6775591"",""axisY"":""0.59855044"",""axisZ"":""9.76116"",""accuracy"":3,""timestamp"":1330142277188199}"
670,2025-05-27 02:43:30,accelerometer,1,,3.0,,,-0.37349546,3.1986535,9.136573,"{""type"":1,""axisX"":""-0.37349546"",""axisY"":""3.1986535"",""axisZ"":""9.136573"",""accuracy"":3,""timestamp"":3094286978907531}"
687,2025-05-27 02:43:34,accelerometer,1,,3.0,,,-0.35913026,-0.49559975,9.871294,"{""type"":1,""axisX"":""-0.35913026"",""axisY"":""-0.49559975"",""axisZ"":""9.871294"",""accuracy"":3,""timestamp"":1500087382945787}"
671,2025-05-27 02:46:35,accelerometer,1,,3.0,,,-0.59967273,-0.024690205,9.764452,"{""type"":1,""axisX"":""-0.59967273"",""axisY"":""-0.024690205"",""axisZ"":""9.764452"",""accuracy"":3,""timestamp"":722892319579210}"
681,2025-05-27 02:49:11,accelerometer,1,,3.0,,,0.303,-0.034950003,9.76305,"{""type"":1,""axisX"":""0.303"",""axisY"":""-0.034950003"",""axisZ"":""9.76305"",""accuracy"":3,""timestamp"":577219064319658}"
676,2025-05-27 02:49:24,accelerometer,1,,3.0,,,0.09571291,-0.08015956,9.8524475,"{""type"":1,""axisX"":""0.09571291"",""axisY"":""-0.08015956"",""axisZ"":""9.8524475"",""accuracy"":3,""timestamp"":123600801432912}"
668,2025-05-27 02:49:50,accelerometer,1,,3.0,,,0.21547815,0.21068975,9.878776,"{""type"":1,""axisX"":""0.21547815"",""axisY"":""0.21068975"",""axisZ"":""9.878776"",""accuracy"":3,""timestamp"":3896433053222813}"
686,2025-05-27 02:52:51,accelerometer,1,,3.0,,,-0.08379706,0.2657564,9.730335,"{""type"":1,""axisX"":""-0.08379706"",""axisY"":""0.2657564"",""axisZ"":""9.730335"",""accuracy"":3,""timestamp"":147706165462303}"
685,2025-05-27 02:55:22,accelerometer,1,,3.0,,,-0.55095005,0.36105,-9.802051,"{""type"":1,""axisX"":""-0.55095005"",""axisY"":""0.36105"",""axisZ"":""-9.802051"",""accuracy"":3,""timestamp"":333688687139761}"
678,2025-05-27 02:55:25,accelerometer,1,,3.0,,,0.6871359,0.58657944,9.727641,"{""type"":1,""axisX"":""0.6871359"",""axisY"":""0.58657944"",""axisZ"":""9.727641"",""accuracy"":3,""timestamp"":1331086006199215}"
670,2025-05-27 02:58:31,accelerometer,1,,3.0,,,-0.33997664,3.1962593,9.148544,"{""type"":1,""axisX"":""-0.33997664"",""axisY"":""3.1962593"",""axisZ"":""9.148544"",""accuracy"":3,""timestamp"":3095231376381155}"
687,2025-05-27 02:58:34,accelerometer,1,,3.0,,,-0.34715924,-0.49320555,9.868899,"{""type"":1,""axisX"":""-0.34715924"",""axisY"":""-0.49320555"",""axisZ"":""9.868899"",""accuracy"":3,""timestamp"":1500987399080141}"
671,2025-05-27 03:01:40,accelerometer,1,,3.0,,,-0.6369325,-0.008379706,9.76767,"{""type"":1,""axisX"":""-0.6369325"",""axisY"":""-0.008379706"",""axisZ"":""9.76767"",""accuracy"":3,""timestamp"":723785444653396}"
